Released,Title,Theatrical Distributor,Genre,Source,Production Method,Creative Type,Production Budget,Domestic Box Office,Infl. Adj. Dom. Box Office,Worldwide Box Office,RottenTomatoesID
25-Dec-12,Django Unchained,Weinstein Co.,Western,Original Screenplay,Live Action,Historical Fiction,100000000,162805434,185988817,449841566,m/django_unchained_2012
13-Jul-12,Ice Age: Continental Drift,20th Century Fox,Adventure,Original Screenplay,Digital Animation,Fantasy,95000000,161321843,185638877,879765137,m/ice_age_continental_drift
1-Jun-12,Snow White and the Huntsman,Universal,Adventure,Based on Folk Tale/Legend/Fairytale,Live Action,Fantasy,170000000,155136755,178524205,401021746,m/snow_white_and_the_huntsman
15-Dec-17,Star Wars Ep. VIII: The Last Jedi,Walt Disney,Adventure,Original Screenplay,Animation/Live Action,Science Fiction,262000000,620181382,631702051,1331635141,m/star_wars_the_last_jedi
28-Sep-12,Hotel Transylvania,Sony Pictures,Adventure,Original Screenplay,Digital Animation,Kids Fiction,85000000,148313048,170620279,378223189,m/hotel_transylvania
5-Oct-12,Taken 2,20th Century Fox,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,45000000,139854287,160924135,377807404,m/taken_2_2012
16-Mar-12,21 Jump Street,Sony Pictures,Comedy,Based on TV,Live Action,Contemporary Fiction,42000000,138447667,159319166,202812429,m/21_jump_street_2011
12-Oct-12,Argo,Warner Bros.,Thriller/Suspense,Based on Factual Book/Article,Live Action,Historical Fiction,44500000,136025503,155908183,227140757,m/argo_2012
16-Nov-12,Silver Linings Playbook,Weinstein Co.,Drama,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,21000000,132092958,149662391,236412453,m/silver_linings_playbook
8-Jun-12,Prometheus,20th Century Fox,Thriller/Suspense,Original Screenplay,Live Action,Science Fiction,125000000,126477084,145543973,402448265,m/prometheus_2012
10-Feb-12,Safe House,Universal,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,85000000,126181630,145203981,207884401,m/safe_house_2012
10-Feb-12,The Vow,Sony Pictures,Drama,Based on Real Life Events,Live Action,Historical Fiction,30000000,125014030,143860365,197618160,m/the_vow_2012
21-Nov-12,Life of Pi,20th Century Fox,Drama,Based on Fiction Book/Short Story,Live Action,Historical Fiction,120000000,124987022,143012414,619310368,m/life-of-pi
29-Jun-12,Magic Mike,Warner Bros.,Comedy,Original Screenplay,Live Action,Contemporary Fiction,7000000,113721571,130865522,170549753,m/magic_mike
10-Aug-12,The Bourne Legacy,Universal,Thriller/Suspense,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,125000000,113203870,130269774,280355920,m/the_bourne_legacy
10-Feb-12,Journey 2: The Mysterious Island,Warner Bros.,Adventure,Based on Fiction Book/Short Story,Live Action,Fantasy,79000000,103860290,119517619,318146162,m/journey_to_the_center_of_the_earth_2_3d
21-Nov-12,Rise of the Guardians,Paramount Pictures,Adventure,Based on Fiction Book/Short Story,Digital Animation,Kids Fiction,145000000,103412758,118853785,306900902,m/rise_of_the_guardians_2012
19-Dec-12,Zero Dark Thirty,Sony Pictures,Thriller/Suspense,Based on Real Life Events,Live Action,Dramatization,52500000,95720716,107953705,134612435,m/zero_dark_thirty
2-Nov-12,Flight,Paramount Pictures,Drama,Original Screenplay,Live Action,Contemporary Fiction,31000000,93772375,107878007,160558438,m/flight_2012
20-Apr-12,Think Like a Man,Sony Pictures,Romantic Comedy,Based on Factual Book/Article,Live Action,Contemporary Fiction,12000000,91547205,105348290,113373764,m/think_like_a_man
10-Aug-12,The Campaign,Warner Bros.,Comedy,Original Screenplay,Live Action,Contemporary Fiction,95000000,86907746,100009411,104907746,m/the_campaign
17-Aug-12,The Expendables 2,Lionsgate,Action,Original Screenplay,Live Action,Contemporary Fiction,100000000,85028192,97846506,311979256,m/the_expendables_2
30-Mar-12,Wrath of the Titans,Warner Bros.,Adventure,Based on Folk Tale/Legend/Fairytale,Animation/Live Action,Fantasy,150000000,83670083,96283655,305270083,m/clash_of_the_titans_2
21-Dec-12,Jack Reacher,Paramount Pictures,Thriller/Suspense,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,60000000,80070736,91771768,217370736,m/jack_reacher
11-May-12,Dark Shadows,Warner Bros.,Black Comedy,Based on TV,Live Action,Fantasy,150000000,79727149,91746313,238202668,m/dark-shadows-2010
25-Dec-12,Parental Guidance,20th Century Fox,Adventure,Original Screenplay,Live Action,Contemporary Fiction,25000000,77267296,88315801,120832383,m/parental_guidance_2012
9-Mar-12,John Carter,Walt Disney,Adventure,Based on Fiction Book/Short Story,Live Action,Science Fiction,263700000,73058679,84072550,282778100,m/john_carter
24-Feb-12,Act of Valor,Relativity,Action,Original Screenplay,Live Action,Contemporary Fiction,12000000,70012847,80567540,82497035,m/act_of_valor
21-Dec-12,This is 40,Universal,Comedy,Spin-Off,Live Action,Contemporary Fiction,35000000,67544505,77407313,90221182,m/this_is_40
13-Jan-12,Contraband,Universal,Action,Remake,Live Action,Contemporary Fiction,25000000,66528000,76557338,98406855,m/1064013-contraband
28-Sep-12,Looper,Sony Pictures,Action,Original Screenplay,Live Action,Science Fiction,30000000,66486205,76509248,170466405,m/looper
6-Aug-10,Step Up 3D,Walt Disney,Drama,Original Screenplay,Live Action,Contemporary Fiction,30000000,42400223,49225098,165889117,m/step_up_3
18-May-12,Battleship,Universal,Action,Based on Game,Live Action,Contemporary Fiction,220000000,65233400,75067574,313477717,m/battleship
28-Sep-12,Pitch Perfect,Universal,Comedy,Based on Factual Book/Article,Live Action,Contemporary Fiction,17000000,65001093,74791940,116044347,m/pitch_perfect
30-Mar-12,Mirror Mirror,Relativity,Adventure,Based on Folk Tale/Legend/Fairytale,Live Action,Fantasy,85000000,64935167,74724385,173613482,m/mirror_mirror_2012
3-Feb-12,Chronicle,20th Century Fox,Thriller/Suspense,Original Screenplay,Live Action,Science Fiction,12000000,64575175,74310124,123681790,m/chronicle
8-Aug-12,Hope Springs,Sony Pictures,Romantic Comedy,Original Screenplay,Live Action,Contemporary Fiction,30000000,63536011,73114296,133085295,m/hope_springs
20-Jan-12,Underworld: Awakening,Sony Pictures,Action,Original Screenplay,Live Action,Fantasy,70000000,62321039,71716168,160379930,m/underworld_awakening
20-Apr-12,The Lucky One,Warner Bros.,Drama,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,25000000,60457138,69571272,96633833,m/the_lucky_one_2012
16-May-12,The Dictator,Paramount Pictures,Comedy,Original Screenplay,Live Action,Contemporary Fiction,65000000,59650222,68642713,180148897,m/the_dictator_2012
3-Aug-12,Total Recall,Sony Pictures,Action,Based on Fiction Book/Short Story,Live Action,Science Fiction,125000000,58877969,67754038,211856088,m/total_recall
6-Apr-12,American Reunion,Universal,Comedy,Original Screenplay,Live Action,Contemporary Fiction,50000000,56758835,65315435,236799211,m/american_reunion_2012
17-Aug-12,ParaNorman,Focus Features,Adventure,Original Screenplay,Stop-Motion Animation,Kids Fiction,60000000,56003051,64445720,108119662,m/paranorman
17-Feb-12,This Means War,20th Century Fox,Romantic Comedy,Original Screenplay,Live Action,Contemporary Fiction,65000000,54760791,63016183,156974557,m/this_means_war
2-Mar-12,Project X,Warner Bros.,Comedy,Original Screenplay,Live Action,Contemporary Fiction,12000000,54731865,62982896,103028188,m/1016832-project_x
3-Feb-12,The Woman in Black,CBS Films,Horror,Based on Fiction Book/Short Story,Live Action,Fantasy,15000000,54333290,62524236,128955898,m/the_woman_in_black_2011
19-Oct-12,Paranormal Activity 4,Paramount Pictures,Horror,Original Screenplay,Live Action,Contemporary Fiction,5000000,53900335,62026006,142817992,m/paranormal_activity_4_2012
6-Jan-12,The Devil Inside,Paramount Pictures,Horror,Original Screenplay,Live Action,Historical Fiction,1000000,53262945,61292528,101759490,m/the_devil_inside
15-Aug-12,The Odd Life of Timothy Green,Walt Disney,Drama,Original Screenplay,Live Action,Contemporary Fiction,40000000,51853450,59670328,55249159,m/the_odd_life_of_timothy_green
17-Feb-12,Ghost Rider: Spirit of Vengeance,Sony Pictures,Action,Original Screenplay,Live Action,Contemporary Fiction,57000000,51774002,59579122,149217355,m/ghost_rider_spirit_of_vengeance
27-Jan-12,The Grey,Open Road,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,25000000,51580136,59356031,81249176,m/the_grey_2012
20-Jan-12,Red Tails,20th Century Fox,Action,Based on Real Life Events,Live Action,Historical Fiction,58000000,49876377,57395424,50365498,m/red-tails
31-Aug-12,The Possession,Lionsgate,Horror,Original Screenplay,Live Action,Fantasy,14000000,49130588,56537205,82925064,m/the_possession
3-Aug-12,Diary of a Wimpy Kid: Dog Days,20th Century Fox,Adventure,Based on Fiction Book/Short Story,Live Action,Kids Fiction,22000000,49008662,56396902,77229695,m/diary_of_a_wimpy_kid_dog_days
12-Oct-12,Sinister,Lionsgate,Horror,Original Screenplay,Live Action,Contemporary Fiction,3000000,48086903,55336183,87727807,m/sinister_2012
6-Jul-12,Savages,Universal,Thriller/Suspense,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,45000000,47323100,54457235,82513490,m/savages_2012
4-May-12,The Best Exotic Marigold Hotel,Fox Searchlight,Comedy,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,10000000,46383639,53376144,134639780,m/the_best_exotic_marigold_hotel_2012
25-May-12,Moonrise Kingdom,Focus Features,Drama,Original Screenplay,Live Action,Historical Fiction,16000000,45512466,52373637,68848446,m/moonrise_kingdom
12-Oct-12,Here Comes the Boom,Sony Pictures,Comedy,Original Screenplay,Live Action,Contemporary Fiction,42000000,45290318,52089375,73239258,m/here_comes_the_boom
21-Nov-12,Red Dawn,Open Road,Action,Remake,Live Action,Contemporary Fiction,65000000,44806783,51539198,48164150,m/1017321-red_dawn
13-Apr-12,The Three Stooges,20th Century Fox,Comedy,Remake,Live Action,Contemporary Fiction,30000000,44338224,51022372,54052249,m/1205530-three_stooges
14-Sep-12,Resident Evil: Retribution,Sony Pictures,Horror,Based on Game,Live Action,Science Fiction,65000000,42345531,48729276,240647629,m/resident_evil_retribution
13-Apr-12,The Cabin in the Woods,Lionsgate,Thriller/Suspense,Original Screenplay,Live Action,Fantasy,30000000,42073277,48415977,70689968,m/the_cabin_in_the_woods
18-May-12,What to Expect When You're Expecting,Lionsgate,Romantic Comedy,Based on Factual Book/Article,Live Action,Contemporary Fiction,37500000,41152203,47356046,88473016,m/what_to_expect_when_youre_expecting
21-Sep-12,End of Watch,Open Road,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,15000000,41003371,47182088,57586606,m/end_of_watch
15-Jun-12,Rock of Ages,Warner Bros.,Musical,Based on Musical or Opera,Live Action,Contemporary Fiction,70000000,38518613,44325432,61031932,m/rock_of_ages_2012
22-Jun-12,Abraham Lincoln: Vampire Hunter,20th Century Fox,Horror,Based on Fiction Book/Short Story,Live Action,Fantasy,67500000,37519139,43175284,137489730,m/abraham_lincoln_vampire_hunter
29-Aug-12,Lawless,Weinstein Co.,Drama,Based on Fiction Book/Short Story,Live Action,Historical Fiction,26000000,37397291,43035072,54393687,m/lawless_2012
19-Dec-12,The Guilt Trip,Paramount Pictures,Comedy,Original Screenplay,Live Action,Contemporary Fiction,40000000,37134215,42587414,41294674,m/the_guilt_trip
3-Jun-16,Teenage Mutant Ninja Turtles: Out of …,Paramount Pictures,Adventure,Based on Comic/Graphic Novel,Animation/Live Action,Super Hero,135000000,82051601,86889323,245328374,m/teenage_mutant_ninja_turtles_out_of_the_shadows
21-Sep-12,Trouble with the Curve,Warner Bros.,Drama,Original Screenplay,Live Action,Contemporary Fiction,60000000,35763137,41154561,47818913,m/trouble_with_the_curve
5-Oct-12,Frankenweenie,Walt Disney,Adventure,Based on Short Film,Stop-Motion Animation,Fantasy,39000000,35287788,40599025,81150788,m/frankenweenie_2012
27-Jul-12,Step Up Revolution,Lionsgate,Drama,Original Screenplay,Live Action,Contemporary Fiction,33000000,35074677,40362313,165552290,m/step_up_revolution
24-Feb-12,Tyler Perry's Good Deeds,Lionsgate,Drama,Original Screenplay,Live Action,Contemporary Fiction,14000000,35025791,40306061,35579177,m/tyler_perrys_good_deeds
27-Jul-12,The Watch,20th Century Fox,Comedy,Original Screenplay,Live Action,Contemporary Fiction,55000000,34353000,39531839,67130045,m/the_watch_2012
1-Jul-15,Terminator: Genisys,Paramount Pictures,Action,Original Screenplay,Live Action,Science Fiction,155000000,89760956,97533848,432150894,m/terminator_genisys
21-Sep-12,House at the End of the Street,Relativity,Horror,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,6900000,31611916,36377529,44103982,m/house_at_the_end_of_the_street
27-Apr-12,The Pirates! Band of Misfits,Sony Pictures,Adventure,Based on Fiction Book/Short Story,Stop-Motion Animation,Kids Fiction,55000000,31051126,35732198,136143605,m/the_pirates_band_of_misfits
13-Jan-12,Joyful Noise,Warner Bros.,Musical,Original Screenplay,Live Action,Contemporary Fiction,27500000,30932113,35595238,31157914,m/joyful_noise_2011
13-Jan-12,The Iron Lady,Weinstein Co.,Drama,Based on Real Life Events,Live Action,Dramatization,14000000,29959436,34475932,115592104,m/the_iron_lady
4-Jan-13,Texas Chainsaw 3D,Lionsgate,Horror,Original Screenplay,Live Action,Contemporary Fiction,20000000,34341945,39215984,47666013,m/texas_chainsaw
27-Apr-12,The Five-Year Engagement,Universal,Romantic Comedy,Original Screenplay,Live Action,Contemporary Fiction,30000000,28700285,33026957,61623819,m/the_five_year_engagement
26-Oct-12,Cloud Atlas,Warner Bros.,Drama,Based on Fiction Book/Short Story,Live Action,Multiple Creative Types,102000000,27108272,31190002,130673154,m/cloud_atlas_2012
27-Jan-12,One for the Money,Lionsgate,Comedy,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,42000000,26414527,30396608,36197221,m/one_for_the_money
19-Oct-12,Alex Cross,Lionsgate,Thriller/Suspense,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,35000000,25888412,29791187,35426759,m/alex_cross
5-Jul-12,Katy Perry: Part of Me,Paramount Pictures,Concert/Performance,Based on Real Life Events,Live Action,Factual,12000000,25326071,29144070,32700439,m/katy_perry_part_of_me
15-Jun-12,That’s My Boy,Sony Pictures,Comedy,Original Screenplay,Live Action,Contemporary Fiction,57500000,36931089,42498589,58879681,m/thats_my_boy_2012
29-Jun-11,Transformers: Dark of the Moon,Paramount Pictures,Action,Based on TV,Animation/Live Action,Science Fiction,195000000,352390543,407048847,1123794079,m/transformers_dark_of_the_moon
10-Dec-10,The Chronicles of Narnia: The Voyage …,20th Century Fox,Adventure,Based on Fiction Book/Short Story,Animation/Live Action,Fantasy,155000000,104386950,121087158,418186950,m/chronicles_of_narnia_the_voyage_of_the_dawn_treader
26-May-11,The Hangover Part II,Warner Bros.,Comedy,Original Screenplay,Live Action,Contemporary Fiction,80000000,254464305,293933545,586764305,m/the_hangover_2
10-Jun-16,The Conjuring 2: The Enfield Poltergeist,Warner Bros.,Horror,Original Screenplay,Live Action,Fantasy,40000000,102470008,108511595,310201399,m/the_conjuring_2
29-Apr-11,Fast Five,Universal,Action,Based on Factual Book/Article,Live Action,Contemporary Fiction,125000000,210031325,242608691,630163454,m/fast_five
20-Mar-15,The Divergent Series: Insurgent,Lionsgate,Action,Based on Fiction Book/Short Story,Live Action,Science Fiction,110000000,130179072,141451990,295075882,No
24-Jun-11,Cars 2,Walt Disney,Adventure,Original Screenplay,Digital Animation,Kids Fiction,200000000,191450875,221146280,560155383,m/cars_2
16-Dec-11,Sherlock Holmes: A Game of Shadows,Warner Bros.,Action,Based on Fiction Book/Short Story,Live Action,Historical Fiction,125000000,186848418,215612550,535663443,m/sherlock_holmes_a_game_of_shadows
6-May-11,Thor,Paramount Pictures,Action,Based on Comic/Graphic Novel,Live Action,Super Hero,150000000,181030624,209109774,449326618,m/thor
5-Aug-11,Rise of the Planet of the Apes,20th Century Fox,Adventure,Remake,Animation/Live Action,Science Fiction,93000000,176760185,204176959,470986200,m/rise_of_the_planet_of_the_apes
22-Jul-11,Captain America: The First Avenger,Paramount Pictures,Action,Based on Comic/Graphic Novel,Live Action,Super Hero,140000000,176654505,204054893,370569776,m/captain_america_the_first_avenger
10-Aug-11,The Help,Walt Disney,Drama,Based on Fiction Book/Short Story,Live Action,Historical Fiction,25000000,169705587,196027233,213120004,m/the_help
13-May-11,Bridesmaids,Universal,Comedy,Original Screenplay,Live Action,Contemporary Fiction,32500000,169211718,195457674,289632023,m/bridesmaids_2011
26-May-11,Kung Fu Panda 2,Paramount Pictures,Adventure,Original Screenplay,Digital Animation,Kids Fiction,150000000,165249063,190880376,664837547,m/kung_fu_panda_the_kaboom_of_doom
28-Oct-11,Puss in Boots,Paramount Pictures,Adventure,Spin-Off,Digital Animation,Kids Fiction,130000000,149260504,172396540,554987477,m/1209933-puss_in_boots
3-Jun-11,X-Men: First Class,20th Century Fox,Action,Based on Comic/Graphic Novel,Live Action,Super Hero,160000000,146408305,169117288,355408305,m/x_men_first_class
15-Apr-11,Rio,20th Century Fox,Adventure,Original Screenplay,Digital Animation,Kids Fiction,90000000,143619809,165896275,487519809,m/rio
29-Jul-11,The Smurfs,Sony Pictures,Adventure,Based on Comic/Graphic Novel,Animation/Live Action,Kids Fiction,110000000,142614158,164734631,563749323,m/the_smurfs
16-Dec-11,Alvin and the Chipmunks: Chipwrecked,20th Century Fox,Adventure,Based on TV,Animation/Live Action,Kids Fiction,80000000,133107389,153599799,349088523,m/alvin_and_the_chipmunks_chipwrecked_2011
10-Jun-11,Super 8,Paramount Pictures,Thriller/Suspense,Original Screenplay,Live Action,Science Fiction,50000000,127004179,146703436,257972745,m/super_8
4-Mar-11,Rango,Paramount Pictures,Adventure,Original Screenplay,Digital Animation,Kids Fiction,135000000,123477607,142629875,245724600,m/rango
8-Jul-11,Horrible Bosses,Warner Bros.,Comedy,Original Screenplay,Live Action,Contemporary Fiction,35000000,117538559,135769630,212417601,m/horrible_bosses
17-Jun-11,Green Lantern,Warner Bros.,Action,Based on Comic/Graphic Novel,Animation/Live Action,Super Hero,200000000,116601172,134686854,219535492,m/green_lantern
1-Apr-11,Hop,Universal,Adventure,Based on Folk Tale/Legend/Fairytale,Animation/Live Action,Kids Fiction,63000000,108085305,124850113,188494082,m/hop_2011
21-Oct-11,Paranormal Activity 3,Paramount Pictures,Horror,Original Screenplay,Live Action,Contemporary Fiction,5000000,104028807,120164324,207039844,m/paranormal_activity_3
11-Feb-11,Just Go With It,Sony Pictures,Romantic Comedy,Original Screenplay,Live Action,Contemporary Fiction,80000000,103028109,119008506,214974953,m/just_go_with_it_2010
20-Dec-11,The Girl with the Dragon Tattoo,Sony Pictures,Thriller/Suspense,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,90000000,102515793,118212411,239373970,m/the_girl_with_the_dragon_tattoo
20-Jul-18,The Equalizer 2,Sony Pictures,Action,Based on TV,Live Action,Contemporary Fiction,77000000,102084362,102644643,190376181,m/equalizer_2
24-Jun-11,Bad Teacher,Sony Pictures,Comedy,Original Screenplay,Live Action,Contemporary Fiction,19000000,100292856,115848993,215448997,m/bad_teacher
11-Feb-11,Gnomeo and Juliet,Walt Disney,Comedy,Based on Play,Digital Animation,Fantasy,36000000,99967670,115473369,193737977,m/gnomeo_and_juliet
14-Jan-11,The Green Hornet,Sony Pictures,Action,Based on TV,Live Action,Super Hero,110000000,98780042,114101531,229155503,m/green_hornet
23-Nov-11,The Muppets,Walt Disney,Adventure,Based on TV,Live Action,Kids Fiction,45000000,88625922,102345889,160971922,m/the_muppets
7-Oct-11,Real Steel,Walt Disney,Action,Based on Fiction Book/Short Story,Live Action,Science Fiction,110000000,85463309,98715048,263880341,m/real_steel
23-May-13,The Hangover 3,Warner Bros.,Comedy,Original Screenplay,Live Action,Contemporary Fiction,103000000,112200072,126414833,362000072,m/the_hangover_part_iii
11-Mar-11,Battle: Los Angeles,Sony Pictures,Action,Original Screenplay,Live Action,Science Fiction,70000000,83552429,96512004,213463976,m/battle-los-angeles
11-Nov-11,Immortals,Relativity,Action,Based on Folk Tale/Legend/Fairytale,Live Action,Fantasy,75000000,83504017,96452400,211562435,m/immortals_2011
16-Nov-11,The Descendants,Fox Searchlight,Drama,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,20000000,82624961,95256498,175507800,m/the_descendants_2011
8-Jul-11,Zookeeper,Sony Pictures,Romantic Comedy,Original Screenplay,Animation/Live Action,Fantasy,80000000,80360866,92825406,170805525,m/zookeeper
25-Dec-11,War Horse,Walt Disney,Drama,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,70000000,79883359,92102170,156815529,m/war_horse
18-Mar-11,Limitless,Relativity,Thriller/Suspense,Based on Fiction Book/Short Story,Live Action,Science Fiction,27000000,79249455,91541614,155564919,m/limitless
4-Nov-11,Tower Heist,Universal,Comedy,Original Screenplay,Live Action,Contemporary Fiction,85000000,78046570,90146729,150422946,m/tower_heist
21-Dec-11,The Adventures of Tintin,Paramount Pictures,Adventure,Based on Comic/Graphic Novel,Digital Animation,Contemporary Fiction,130000000,77591831,89512857,373993951,m/the_adventures_of_tintin
9-Sep-11,Contagion,Warner Bros.,Thriller/Suspense,Original Screenplay,Live Action,Science Fiction,60000000,75658097,87393215,137551594,m/contagion_2011
23-Dec-11,We Bought a Zoo,20th Century Fox,Drama,Based on Factual Book/Article,Live Action,Dramatization,50000000,75624550,87218919,118729073,m/we_bought_a_zoo
23-Sep-11,Moneyball,Sony Pictures,Drama,Based on Factual Book/Article,Live Action,Dramatization,50000000,75605492,87329635,111300835,m/moneyball
11-Nov-11,Jack and Jill,Sony Pictures,Comedy,Original Screenplay,Live Action,Contemporary Fiction,79000000,74158157,85649902,150519217,m/jack_and_jill_2011
23-Nov-11,Hugo,Paramount Pictures,Adventure,Based on Fiction Book/Short Story,Animation/Live Action,Fantasy,180000000,73864507,85218888,180047784,m/hugo
11-Feb-11,Justin Bieber: Never Say Never,Paramount Pictures,Concert/Performance,Based on Real Life Events,Live Action,Factual,13000000,73013910,84338895,99034125,m/justin_bieber_never_say_never
23-Sep-11,Dolphin Tale,Warner Bros.,Drama,Based on Real Life Events,Live Action,Dramatization,37000000,72286779,83497797,96068724,m/dolphin_tale
21-Jan-11,No Strings Attached,Paramount Pictures,Romantic Comedy,Original Screenplay,Live Action,Contemporary Fiction,25000000,70662220,81622443,149228078,m/no_strings_attached_2011
18-Aug-17,The Hitman’s Bodyguard,Lionsgate,Action,Original Screenplay,Live Action,Contemporary Fiction,30000000,75468583,77067129,183415183,m/the_hitmans_bodyguard
18-Nov-11,Happy Feet Two,Warner Bros.,Adventure,Original Screenplay,Digital Animation,Kids Fiction,135000000,64006466,73921081,157956466,m/happy_feet_two
18-Feb-11,Unknown,Warner Bros.,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,40000000,63686397,73564620,136123083,m/unknown_2011
4-Mar-11,The Adjustment Bureau,Universal,Thriller/Suspense,Based on Fiction Book/Short Story,Live Action,Science Fiction,50200000,62495645,72189172,126931325,m/adjustment_bureau
22-Apr-11,Water for Elephants,20th Century Fox,Drama,Based on Fiction Book/Short Story,Live Action,Historical Fiction,38000000,58709717,67816014,116809717,m/water_for_elephants
18-Mar-11,The Lincoln Lawyer,Lionsgate,Thriller/Suspense,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,40000000,58009200,67006838,87145086,m/lincoln_lawyer
20-May-11,Midnight in Paris,Sony Pictures Classics,Romantic Comedy,Original Screenplay,Live Action,Fantasy,30000000,56816662,65627406,162275213,m/midnight_in_paris
22-Jul-11,Friends with Benefits,Sony Pictures,Romantic Comedy,Original Screenplay,Live Action,Contemporary Fiction,35000000,55802754,64458160,146595891,m/friends_with_benefits
18-Feb-11,I am Number Four,Walt Disney,Adventure,Based on Fiction Book/Short Story,Live Action,Science Fiction,50000000,55100437,63646904,146195159,m/i_am_number_four
1-Apr-11,Source Code,Summit Entertainment,Thriller/Suspense,Original Screenplay,Live Action,Science Fiction,32000000,54712227,63198486,140428499,m/source_code
17-Dec-14,The Hobbit: The Battle of the Five Ar…,Warner Bros.,Adventure,Based on Fiction Book/Short Story,Animation/Live Action,Fantasy,250000000,255119788,284840313,940389558,m/the_hobbit_the_battle_of_the_five_armies
1-Apr-11,Insidious,FilmDistrict,Horror,Original Screenplay,Live Action,Contemporary Fiction,1500000,54009150,62386351,99870886,m/insidious
22-Apr-16,The Huntsman: Winter’s War,Universal,Action,Based on Folk Tale/Legend/Fairytale,Live Action,Fantasy,115000000,48003015,50833246,165149302,m/the_huntsman_winters_war
26-Nov-10,The King’s Speech,Weinstein Co.,Drama,Original Screenplay,Live Action,Dramatization,15000000,138797449,160460218,430061213,m/the_kings_speech
14-Oct-11,Footloose,Paramount Pictures,Musical,Remake,Live Action,Contemporary Fiction,24000000,51802742,59837132,62989834,m/1007657-footloose
14-Jan-11,The Dilemma,Universal,Comedy,Original Screenplay,Live Action,Contemporary Fiction,70000000,48475290,55994155,70546865,m/the_dilemma
23-Nov-11,Arthur Christmas,Sony Pictures,Adventure,Original Screenplay,Digital Animation,Kids Fiction,85000000,46462469,53666324,148168160,m/arthur_christmas
25-Feb-11,Hall Pass,Warner Bros.,Comedy,Original Screenplay,Live Action,Contemporary Fiction,68000000,45060734,52049978,87173475,m/hall_pass
25-Nov-11,The Artist,Weinstein Co.,Drama,Original Screenplay,Live Action,Historical Fiction,16000000,44667095,51422774,128113644,m/the_artist
8-Apr-11,Soul Surfer,Sony Pictures,Drama,Based on Factual Book/Article,Live Action,Dramatization,18000000,43853424,50655405,47158652,m/soul_surfer
12-Aug-11,Final Destination 5,Warner Bros.,Horror,Original Screenplay,Live Action,Fantasy,40000000,42587643,49193295,155011165,m/final_destination_5
7-Oct-11,The Ides of March,Sony Pictures,Drama,Based on Play,Live Action,Contemporary Fiction,23000000,40962534,47315513,77735925,m/the_ides_of_march
8-Apr-11,Hanna,Focus Features,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,30000000,40259119,46503589,65343694,m/hanna
6-May-11,Something Borrowed,Warner Bros.,Romantic Comedy,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,35000000,39046489,45102878,65084116,m/something_borrowed_2011
18-Nov-11,"The Twilight Saga: Breaking Dawn, Part 1",Summit Entertainment,Drama,Based on Fiction Book/Short Story,Live Action,Fantasy,127500000,281287133,324891726,689420051,m/the_twilight_saga_breaking_dawn_part_1
15-Apr-11,Scream 4,Weinstein/Dimension,Horror,Original Screenplay,Live Action,Contemporary Fiction,40000000,38180928,44103064,95989590,m/scream-4
18-Feb-11,"Big Mommas: Like Father, Like Son",20th Century Fox,Comedy,Original Screenplay,Live Action,Contemporary Fiction,32000000,37915414,43796369,82332450,m/big_mommas_like_father_like_son
11-Mar-11,Red Riding Hood,Warner Bros.,Thriller/Suspense,Based on Folk Tale/Legend/Fairytale,Live Action,Fantasy,42000000,37662162,43503835,91678442,m/girl_with_the_red_riding_hood
28-Oct-11,In Time,20th Century Fox,Thriller/Suspense,Original Screenplay,Live Action,Science Fiction,35000000,37553932,43376731,165103952,m/in_time
18-Mar-11,Paul,Universal,Comedy,Original Screenplay,Live Action,Science Fiction,40000000,37412945,43215964,101162106,m/paul
9-Nov-11,J. Edgar,Warner Bros.,Drama,Based on Real Life Events,Live Action,Dramatization,35000000,37306030,43089611,84606030,m/j_edgar
4-Feb-11,The Roommate,Sony Pictures,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,16000000,37300107,43085617,52545707,m/the_roommate
6-May-11,Jumping the Broom,Sony Pictures,Romantic Comedy,Original Screenplay,Live Action,Contemporary Fiction,7000000,37295394,43080176,38158601,m/jumping_the_broom
5-Aug-11,The Change-Up,Universal,Comedy,Original Screenplay,Live Action,Contemporary Fiction,52000000,37243418,43020142,75997067,m/the_change_up
