Released,Title,Theatrical Distributor,Genre,Source,Production Method,Creative Type,Production Budget,Domestic Box Office,Infl. Adj. Dom. Box Office,Worldwide Box Office,RottenTomatoesID
9-May-14,Chef,Open Road,Comedy,Original Screenplay,Live Action,Contemporary Fiction,0,31424004,35231806,46829309,m/chef_2014
21-Feb-14,3 Days to Kill,Relativity,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,28000000,30697999,34417830,38959900,m/3_days_to_kill
2-Jul-14,Deliver Us from Evil,Sony Pictures,Horror,Based on Factual Book/Article,Live Action,Fantasy,30000000,30577122,34282298,87956618,m/deliver_us_from_evil
1-Aug-14,Get on Up,Universal,Drama,Based on Real Life Events,Live Action,Dramatization,30000000,30569935,34274247,33339868,m/get_on_up
22-Aug-14,When the Game Stands Tall,Sony Pictures,Drama,Based on Factual Book/Article,Live Action,Contemporary Fiction,15000000,30127963,33778718,30138912,m/when_the_game_stands_tall
11-Apr-14,Draft Day,Lionsgate,Drama,Original Screenplay,Live Action,Contemporary Fiction,25000000,28842237,32337191,29847480,m/draft_day
11-Apr-14,Oculus,Relativity,Horror,Based on Short Film,Live Action,Contemporary Fiction,5000000,27695246,31051209,44115496,m/oculus
17-Oct-14,The Best of Me,Relativity,Drama,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,26000000,26766213,30008691,41059418,m/the_best_of_me
31-Jan-14,That Awkward Moment,FilmDistrict,Romantic Comedy,Original Screenplay,Live Action,Contemporary Fiction,8000000,26068955,29227856,53068955,m/that_awkward_moment
19-Sep-14,A Walk Among the Tombstones,Universal,Action,Based on Fiction Book/Short Story,Live Action,Historical Fiction,28000000,26017685,29170377,62108587,m/a_walk_among_the_tombstones
10-Jan-14,Her,Warner Bros.,Drama,Original Screenplay,Live Action,Science Fiction,23000000,25568251,28666476,48043998,m/her
11-Jul-14,Boyhood,IFC Films,Drama,Original Screenplay,Live Action,Contemporary Fiction,4000000,25379975,28418030,57273049,m/boyhood
22-Nov-13,The Hunger Games: Catching Fire,Lionsgate,Adventure,Based on Fiction Book/Short Story,Live Action,Science Fiction,130000000,424668047,478373077,864868047,m/the_hunger_games_catching_fire
3-May-13,Iron Man 3,Walt Disney,Action,Based on Comic/Graphic Novel,Animation/Live Action,Super Hero,200000000,408992272,460808016,1215392272,m/iron_man_3
22-Nov-13,Frozen,Walt Disney,Musical,Based on Folk Tale/Legend/Fairytale,Digital Animation,Kids Fiction,150000000,400953009,451149053,1265596785,m/10012051-frozen
3-Jul-13,Despicable Me 2,Universal,Adventure,Original Screenplay,Digital Animation,Kids Fiction,76000000,368065385,414695440,975216835,m/despicable_me_2
14-Jun-13,Man of Steel,Warner Bros.,Action,Based on Comic/Graphic Novel,Live Action,Super Hero,225000000,291045518,327918437,667999518,m/superman_man_of_steel
4-Oct-13,Gravity,Warner Bros.,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,110000000,274092705,308715953,688214291,m/gravity_2013
21-Jun-13,Monsters University,Walt Disney,Adventure,Original Screenplay,Digital Animation,Kids Fiction,200000000,268488329,302503449,743455810,m/monsters_university
13-Dec-13,The Hobbit: The Desolation of Smaug,Warner Bros.,Adventure,Based on Fiction Book/Short Story,Animation/Live Action,Fantasy,250000000,258241522,290796795,959358436,m/the_hobbit_the_desolation_of_smaug
12-Feb-10,Percy Jackson & the Olympians: The Li…,20th Century Fox,Adventure,Based on Fiction Book/Short Story,Live Action,Fantasy,95000000,88768303,103056733,223050874,m/0814255
8-Mar-13,Oz the Great and Powerful,Walt Disney,Adventure,Spin-Off,Animation/Live Action,Fantasy,200000000,234770996,264514428,490359051,m/oz_the_great_and_powerful
16-May-13,Star Trek Into Darkness,Paramount Pictures,Adventure,Based on TV,Live Action,Science Fiction,190000000,228778661,257762913,467381584,m/star_trek_into_darkness
8-Nov-13,Thor: The Dark World,Walt Disney,Action,Based on Comic/Graphic Novel,Live Action,Super Hero,150000000,206362140,232490345,644602516,m/thor_the_dark_world
21-Jun-13,World War Z,Paramount Pictures,Action,Based on Fiction Book/Short Story,Live Action,Science Fiction,190000000,202706711,228343915,531861650,m/world-war-z
22-Mar-13,The Croods,20th Century Fox,Adventure,Original Screenplay,Digital Animation,Kids Fiction,135000000,187168425,210881025,573068425,m/the-croods
28-Jun-13,The Heat,20th Century Fox,Comedy,Original Screenplay,Live Action,Contemporary Fiction,43000000,159581587,179799176,229727774,m/the_heat
12-Aug-16,Pete’s Dragon,Walt Disney,Adventure,Remake,Animation/Live Action,Kids Fiction,65000000,76233151,80727822,137768975,m/petes_dragon_2016
13-Dec-13,American Hustle,Sony Pictures,Black Comedy,Based on Real Life Events,Live Action,Dramatization,40000000,150098456,168771534,257858943,m/american_hustle
10-May-13,The Great Gatsby,Warner Bros.,Drama,Based on Fiction Book/Short Story,Live Action,Historical Fiction,190000000,144840419,163190429,353640419,m/1008799-great_gatsby
19-Jul-13,The Conjuring,Warner Bros.,Horror,Original Screenplay,Live Action,Fantasy,20000000,137400141,154807536,317744402,m/the_conjuring
8-Feb-13,Identity Thief,Universal,Comedy,Original Screenplay,Live Action,Contemporary Fiction,35000000,134506920,151547767,175361578,m/identity_thief
12-Jul-13,Grown Ups 2,Sony Pictures,Comedy,Original Screenplay,Live Action,Contemporary Fiction,80000000,133668525,150603151,247023808,m/grown_ups_2
26-Jul-13,The Wolverine,20th Century Fox,Action,Based on Comic/Graphic Novel,Live Action,Super Hero,115000000,132556852,149350640,416456852,m/the_wolverine_2012
18-Dec-13,Anchorman 2: The Legend Continues,Paramount Pictures,Comedy,Original Screenplay,Live Action,Historical Fiction,50000000,127413176,143452488,172246223,m/anchorman_2_the_legend_continues
25-Dec-13,Lone Survivor,Universal,Action,Based on Factual Book/Article,Live Action,Dramatization,40000000,125095601,140255859,149804632,m/lone_survivor
27-Mar-13,G.I. Joe: Retaliation,Paramount Pictures,Action,Based on Toy,Animation/Live Action,Contemporary Fiction,140000000,122523060,138045661,375740705,m/gi_joe_retaliation
27-Sep-13,Cloudy with a Chance of Meatballs 2,Sony Pictures,Adventure,Based on Fiction Book/Short Story,Digital Animation,Kids Fiction,78000000,119793567,134958329,274392649,m/cloudy_with_a_chance_of_meatballs_2_2013
31-May-13,Now You See Me,Lionsgate,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,75000000,117723989,132638586,342769200,m/now_you_see_me
25-Dec-13,The Wolf of Wall Street,Paramount Pictures,Black Comedy,Based on Factual Book/Article,Live Action,Dramatization,100000000,116949183,131468982,389918903,m/the_wolf_of_wall_street_2013
16-Aug-13,Lee Daniels' The Butler,Weinstein Co.,Drama,Based on Real Life Events,Live Action,Dramatization,30000000,116632095,131406484,177025498,m/lee_daniels_the_butler
26-May-17,Pirates of the Caribbean: Dead Men Te…,Walt Disney,Adventure,Based on Theme Park Ride,Animation/Live Action,Historical Fiction,230000000,172558876,176213961,794861794,m/pirates_of_the_caribbean_dead_men_tell_no_tales
24-May-13,Epic,20th Century Fox,Adventure,Based on Fiction Book/Short Story,Digital Animation,Kids Fiction,100000000,107518682,121140359,262794441,m/epic_2013
11-Oct-13,Captain Phillips,Sony Pictures,Drama,Based on Real Life Events,Live Action,Dramatization,55000000,107136417,120696960,220648184,m/captain_phillips
25-Oct-13,Jackass Presents: Bad Grandpa,Paramount Pictures,Comedy,Based on Real Life Events,Live Action,Factual,15000000,102003019,114923815,160903019,m/jackass_presents_bad_grandpa
12-Jul-13,Pacific Rim,Warner Bros.,Action,Original Screenplay,Live Action,Science Fiction,190000000,101802906,114700439,411002906,m/pacific_rim_2013
12-Jun-13,This is the End,Sony Pictures,Comedy,Based on Short Film,Live Action,Science Fiction,32000000,101470202,114325584,126539117,m/this_is_the_end
22-Mar-13,Olympus Has Fallen,FilmDistrict,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,70000000,98927592,111460849,172878928,m/olympus_has_fallen_2013
12-Apr-13,42,Warner Bros.,Drama,Based on Real Life Events,Live Action,Dramatization,31000000,95020213,107058443,97470701,m/42_2013
