Released,Title,Theatrical Distributor,Genre,Source,Production Method,Creative Type,Production Budget,Domestic Box Office,Infl. Adj. Dom. Box Office,Worldwide Box Office
17-Sep-10,The Town,Warner Bros.,Thriller/Suspense,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,"$37,000,000 ","$92,186,262 ","$107,024,790 ","$152,566,881 "
28-May-10,Prince of Persia: Sands of Time,Walt Disney,Action,Based on Game,Live Action,Fantasy,"$200,000,000 ","$90,759,676 ","$105,368,643 ","$336,359,676 "
15-Oct-10,Red,Summit Entertainment,Action,Based on Comic/Graphic Novel,Live Action,Contemporary Fiction,"$60,000,000 ","$90,380,162 ","$104,922,918 ","$196,439,693 "
12-Feb-10,Percy Jackson & the Olympians: The Li…,20th Century Fox,Adventure,Based on Fiction Book/Short Story,Live Action,Fantasy,"$95,000,000 ","$88,768,303 ","$103,056,733 ","$223,050,874 "
20-Oct-10,Paranormal Activity 2,Paramount Pictures,Horror,Original Screenplay,Live Action,Contemporary Fiction,"$3,000,000 ","$84,752,907 ","$98,394,467 ","$177,512,032 "
12-Nov-10,Unstoppable,20th Century Fox,Action,Based on Real Life Events,Live Action,Dramatization,"$95,000,000 ","$81,562,942 ","$94,679,308 ","$165,720,921 "
13-Aug-10,Eat Pray Love,Sony Pictures,Drama,Based on Factual Book/Article,Live Action,Contemporary Fiction,"$60,000,000 ","$80,574,010 ","$93,543,468 ","$206,598,789 "
5-Feb-10,Dear John,Sony Pictures,Drama,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,"$25,000,000 ","$80,014,842 ","$92,894,290 ","$142,033,509 "
11-Jun-10,The A-Team,20th Century Fox,Action,Based on TV,Live Action,Contemporary Fiction,"$110,000,000 ","$77,222,099 ","$89,652,016 ","$177,241,171 "
23-Jun-10,Knight and Day,20th Century Fox,Action,Original Screenplay,Live Action,Contemporary Fiction,"$117,000,000 ","$76,423,035 ","$88,724,337 ","$258,751,370 "
30-Jul-10,Dinner for Schmucks,Paramount Pictures,Comedy,Remake,Live Action,Contemporary Fiction,"$69,000,000 ","$73,026,337 ","$84,780,893 ","$86,796,502 "
10-Dec-10,The Tourist,Sony Pictures,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,"$100,000,000 ","$67,631,157 ","$78,441,165 ","$278,731,369 "
19-Mar-10,The Bounty Hunter,Sony Pictures,Romantic Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$45,000,000 ","$67,061,228 ","$77,855,622 ","$135,808,837 "
19-Mar-10,Diary of a Wimpy Kid,20th Century Fox,Adventure,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,"$15,000,000 ","$64,003,625 ","$74,305,856 ","$76,954,311 "
14-Jul-10,The Sorcerer's Apprentice,Walt Disney,Adventure,Based on Short Film,Animation/Live Action,Fantasy,"$160,000,000 ","$63,150,991 ","$73,315,971 ","$217,986,320 "
30-Apr-10,A Nightmare on Elm Street,Warner Bros.,Horror,Remake,Live Action,Contemporary Fiction,"$35,000,000 ","$63,075,011 ","$73,227,770 ","$117,729,621 "
31-Mar-10,The Last Song,Walt Disney,Drama,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,"$20,000,000 ","$62,950,384 ","$73,083,078 ","$92,678,948 "
12-Feb-10,The Wolfman,Universal,Horror,Remake,Live Action,Historical Fiction,"$150,000,000 ","$62,189,884 ","$72,200,173 ","$142,634,358 "
4-Jun-10,Get Him to the Greek,Universal,Comedy,Spin-Off,Live Action,Contemporary Fiction,"$40,000,000 ","$61,153,526 ","$70,996,998 ","$92,994,927 "
10-Sep-10,Resident Evil: Afterlife,Sony Pictures,Horror,Based on Game,Live Action,Science Fiction,"$57,500,000 ","$60,128,566 ","$69,807,050 ","$295,874,190 "
2-Apr-10,Why Did I Get Married Too?,Lionsgate,Drama,Based on Play,Live Action,Contemporary Fiction,"$20,000,000 ","$60,095,852 ","$69,769,073 ","$60,831,067 "
22-Jan-10,Tooth Fairy,20th Century Fox,Adventure,Original Screenplay,Live Action,Fantasy,"$48,000,000 ","$60,022,256 ","$69,683,637 ","$112,610,386 "
8-Oct-10,Secretariat,Walt Disney,Drama,Based on Real Life Events,Live Action,Dramatization,"$35,000,000 ","$59,699,513 ","$69,305,146 ","$60,376,247 "
17-Sep-10,Easy A,Sony Pictures,Comedy,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,"$8,000,000 ","$58,401,464 ","$67,801,954 ","$76,200,721 "
27-Aug-10,Takers,Sony Pictures,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,"$32,000,000 ","$57,744,720 ","$67,039,494 ","$70,587,268 "
24-Sep-10,Legend of the Guardians: The Owls of …,Warner Bros.,Adventure,Based on Fiction Book/Short Story,Digital Animation,Kids Fiction,"$100,000,000 ","$55,675,313 ","$64,636,258 ","$139,716,717 "
8-Oct-10,Life as We Know It,Warner Bros.,Romantic Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$38,000,000 ","$53,374,681 ","$61,963,177 ","$105,887,837 "
14-May-10,Letters to Juliet,Summit Entertainment,Drama,Based on Factual Book/Article,Live Action,Contemporary Fiction,"$30,000,000 ","$53,032,453 ","$61,568,729 ","$82,148,538 "
19-Mar-10,Hubble 3D,Warner Bros.,Documentary,Based on Real Life Events,Live Action,Factual,$0 ,"$52,509,100 ","$59,180,507 ","$68,204,406 "
24-Sep-10,Wall Street 2: Money Never Sleeps,20th Century Fox,Drama,Original Screenplay,Live Action,Contemporary Fiction,"$70,000,000 ","$52,474,616 ","$60,921,099 ","$137,431,619 "
9-Jul-10,Predators,20th Century Fox,Action,Original Screenplay,Live Action,Science Fiction,"$40,000,000 ","$52,000,688 ","$60,370,885 ","$127,234,389 "
26-Mar-10,Hot Tub Time Machine,MGM,Comedy,Original Screenplay,Live Action,Science Fiction,"$36,000,000 ","$50,269,859 ","$58,361,456 ","$65,967,750 "
16-Apr-10,Kick-Ass,Lionsgate,Black Comedy,Based on Comic/Graphic Novel,Live Action,Contemporary Fiction,"$28,000,000 ","$48,071,303 ","$55,809,013 ","$97,531,134 "
4-Jun-10,Killers,Lionsgate,Action,Original Screenplay,Live Action,Contemporary Fiction,"$75,000,000 ","$47,059,963 ","$54,634,884 ","$95,572,749 "
29-Oct-10,Saw 3D,Lionsgate,Horror,Original Screenplay,Live Action,Contemporary Fiction,"$17,000,000 ","$45,710,178 ","$53,067,828 ","$133,735,284 "
26-Feb-10,Cop Out,Warner Bros.,Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$37,000,000 ","$44,875,481 ","$52,098,782 ","$55,909,910 "
30-Jul-10,Cats & Dogs: The Revenge of Kitty Galore,Warner Bros.,Adventure,Original Screenplay,Live Action,Kids Fiction,"$85,000,000 ","$43,585,753 ","$50,601,461 ","$113,026,383 "
29-Jan-10,Edge of Darkness,Warner Bros.,Thriller/Suspense,Based on TV,Live Action,Contemporary Fiction,"$60,000,000 ","$43,313,890 ","$50,285,835 ","$82,812,456 "
25-Dec-10,Gulliver's Travels,20th Century Fox,Adventure,Based on Fiction Book/Short Story,Animation/Live Action,Fantasy,"$112,000,000 ","$42,779,261 ","$49,575,413 ","$232,017,848 "
16-Apr-10,Death at a Funeral,Sony Pictures,Black Comedy,Remake,Live Action,Contemporary Fiction,"$21,000,000 ","$42,739,347 ","$49,618,813 ","$48,977,233 "
6-Aug-10,Step Up 3D,Walt Disney,Drama,Original Screenplay,Live Action,Contemporary Fiction,"$30,000,000 ","$42,400,223 ","$49,225,098 ","$165,889,117 "
27-Aug-10,The Last Exorcism,Lionsgate,Horror,Original Screenplay,Live Action,Contemporary Fiction,"$1,800,000 ","$41,034,350 ","$47,639,365 ","$70,165,900 "
22-Jan-10,Legion,Sony Pictures,Horror,Original Screenplay,Live Action,Fantasy,"$26,000,000 ","$40,168,080 ","$46,633,661 ","$67,647,574 "
24-Nov-10,Burlesque,Sony Pictures,Musical,Original Screenplay,Live Action,Contemporary Fiction,"$55,000,000 ","$39,440,655 ","$45,779,152 ","$90,552,675 "
26-Feb-10,The Crazies,Overture Films,Horror,Remake,Live Action,Contemporary Fiction,"$19,000,000 ","$39,123,589 ","$45,421,051 ","$56,445,534 "
5-Nov-10,For Colored Girls,Lionsgate,Drama,Based on Play,Live Action,Contemporary Fiction,"$21,000,000 ","$37,729,698 ","$43,802,470 ","$38,017,873 "
23-Apr-10,The Back-up Plan,CBS Films,Romantic Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$35,000,000 ","$37,490,007 ","$43,524,519 ","$75,281,179 "
18-Aug-10,Vampires Suck,20th Century Fox,Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$20,000,000 ","$36,661,504 ","$42,562,654 ","$81,424,988 "
1-Sep-10,The American,Focus Features,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,"$20,000,000 ","$35,606,376 ","$41,337,688 ","$67,950,723 "
12-Mar-10,Green Zone,Universal,Drama,Based on Factual Book/Article,Live Action,Historical Fiction,"$100,000,000 ","$35,497,337 ","$41,211,106 ","$97,523,020 "
17-Sep-10,Devil,Universal,Horror,Original Screenplay,Live Action,Fantasy,"$10,000,000 ","$33,679,655 ","$39,100,843 ","$63,354,114 "
4-Jun-10,Marmaduke,20th Century Fox,Adventure,Based on Comic/Graphic Novel,Animation/Live Action,Kids Fiction,"$50,000,000 ","$33,644,788 ","$39,060,365 ","$89,895,930 "
13-Aug-10,Scott Pilgrim vs. The World,Universal,Comedy,Based on Comic/Graphic Novel,Live Action,Contemporary Fiction,"$85,000,000 ","$32,841,100 ","$37,929,352 ","$49,286,548 "
15-Oct-10,Hereafter,Warner Bros.,Drama,Original Screenplay,Live Action,Contemporary Fiction,"$50,000,000 ","$32,746,941 ","$38,017,792 ","$108,660,270 "
29-Jan-10,When in Rome,Walt Disney,Romantic Comedy,Original Screenplay,Live Action,Contemporary Fiction,$0 ,"$32,680,633 ","$37,941,013 ","$43,796,937 "
24-Nov-10,Love and Other Drugs,20th Century Fox,Drama,Based on Factual Book/Article,Live Action,Contemporary Fiction,"$30,000,000 ","$32,367,005 ","$37,570,464 ","$102,716,321 "
12-Mar-10,She's Out of My League,Paramount Pictures,Romantic Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$20,000,000 ","$32,010,860 ","$37,163,430 ","$48,680,977 "
30-Jul-10,Charlie St. Cloud,Universal,Drama,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,"$44,000,000 ","$31,206,263 ","$36,229,321 ","$48,478,084 "
10-Nov-10,Morning Glory,Paramount Pictures,Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$40,000,000 ","$31,011,732 ","$36,002,006 ","$59,795,070 "
17-Dec-10,How Do You Know?,Sony Pictures,Romantic Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$120,000,000 ","$30,212,620 ","$35,045,455 ","$49,628,177 "
8-Jan-10,Daybreakers,Lionsgate,Horror,Original Screenplay,Live Action,Science Fiction,"$20,000,000 ","$30,101,577 ","$34,946,820 ","$51,445,503 "
20-Aug-10,Nanny McPhee and the Big Bang,Universal,Adventure,Based on Fiction Book/Short Story,Live Action,Kids Fiction,"$35,000,000 ","$29,197,642 ","$33,897,386 ","$97,799,865 "
20-Aug-10,The Switch,Miramax,Romantic Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$19,000,000 ","$27,758,465 ","$32,226,556 ","$49,858,465 "
5-Mar-10,Brooklyn's Finest,Overture Films,Thriller/Suspense,Remake,Live Action,Contemporary Fiction,"$17,000,000 ","$27,163,593 ","$31,535,929 ","$39,233,233 "
3-Sep-10,Machete,20th Century Fox,Action,Original Screenplay,Live Action,Contemporary Fiction,"$12,500,000 ","$26,593,646 ","$30,874,247 ","$46,370,970 "
