Released,Title,Theatrical Distributor,Genre,Source,Production Method,Creative Type,Production Budget,Domestic Box Office,Infl. Adj. Dom. Box Office,Worldwide Box Office
21-Oct-11,Paranormal Activity 3,Paramount Pictures,Horror,Original Screenplay,Live Action,Contemporary Fiction,"$5,000,000 ","$104,028,807 ","$120,164,324 ","$207,039,844 "
11-Feb-11,Just Go With It,Sony Pictures,Romantic Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$80,000,000 ","$103,028,109 ","$119,008,506 ","$214,974,953 "
20-Dec-11,The Girl with the Dragon Tattoo,Sony Pictures,Thriller/Suspense,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,"$90,000,000 ","$102,515,793 ","$118,212,411 ","$239,373,970 "
29-Jul-11,Cowboys and Aliens,Universal,Action,Based on Comic/Graphic Novel,Live Action,Science Fiction,"$163,000,000 ","$100,368,560 ","$115,936,444 ","$176,038,324 "
24-Jun-11,Bad Teacher,Sony Pictures,Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$19,000,000 ","$100,292,856 ","$115,848,993 ","$215,448,997 "
11-Feb-11,Gnomeo and Juliet,Walt Disney,Comedy,Based on Play,Digital Animation,Fantasy,"$36,000,000 ","$99,967,670 ","$115,473,369 ","$193,737,977 "
14-Jan-11,The Green Hornet,Sony Pictures,Action,Based on TV,Live Action,Super Hero,"$110,000,000 ","$98,780,042 ","$114,101,531 ","$229,155,503 "
23-Nov-11,The Muppets,Walt Disney,Adventure,Based on TV,Live Action,Kids Fiction,"$45,000,000 ","$88,625,922 ","$102,345,889 ","$160,971,922 "
7-Oct-11,Real Steel,Walt Disney,Action,Based on Fiction Book/Short Story,Live Action,Science Fiction,"$110,000,000 ","$85,463,309 ","$98,715,048 ","$263,880,341 "
29-Jul-11,"Crazy, Stupid, Love",Warner Bros.,Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$50,000,000 ","$84,351,197 ","$97,434,673 ","$147,142,328 "
11-Mar-11,Battle: Los Angeles,Sony Pictures,Action,Original Screenplay,Live Action,Science Fiction,"$70,000,000 ","$83,552,429 ","$96,512,004 ","$213,463,976 "
11-Nov-11,Immortals,Relativity,Action,Based on Folk Tale/Legend/Fairytale,Live Action,Fantasy,"$75,000,000 ","$83,504,017 ","$96,452,400 ","$211,562,435 "
16-Nov-11,The Descendants,Fox Searchlight,Drama,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,"$20,000,000 ","$82,624,961 ","$95,256,498 ","$175,507,800 "
8-Jul-11,Zookeeper,Sony Pictures,Romantic Comedy,Original Screenplay,Animation/Live Action,Fantasy,"$80,000,000 ","$80,360,866 ","$92,825,406 ","$170,805,525 "
25-Dec-11,War Horse,Walt Disney,Drama,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,"$70,000,000 ","$79,883,359 ","$92,102,170 ","$156,815,529 "
18-Mar-11,Limitless,Relativity,Thriller/Suspense,Based on Fiction Book/Short Story,Live Action,Science Fiction,"$27,000,000 ","$79,249,455 ","$91,541,614 ","$155,564,919 "
4-Nov-11,Tower Heist,Universal,Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$85,000,000 ","$78,046,570 ","$90,146,729 ","$150,422,946 "
21-Dec-11,The Adventures of Tintin,Paramount Pictures,Adventure,Based on Comic/Graphic Novel,Digital Animation,Contemporary Fiction,"$130,000,000 ","$77,591,831 ","$89,512,857 ","$373,993,951 "
9-Sep-11,Contagion,Warner Bros.,Thriller/Suspense,Original Screenplay,Live Action,Science Fiction,"$60,000,000 ","$75,658,097 ","$87,393,215 ","$137,551,594 "
23-Dec-11,We Bought a Zoo,20th Century Fox,Drama,Based on Factual Book/Article,Live Action,Dramatization,"$50,000,000 ","$75,624,550 ","$87,218,919 ","$118,729,073 "
23-Sep-11,Moneyball,Sony Pictures,Drama,Based on Factual Book/Article,Live Action,Dramatization,"$50,000,000 ","$75,605,492 ","$87,329,635 ","$111,300,835 "
